Label (Grouping),Category,State,Estimate,Margin of Error,Percent,Percent Margin of Error,Year
Workers 16 years and over,COMMUTING TO WORK,New Hampshire,"724,368","±3,473","724,368",(X),2021
"        Car, truck, or van -- drove alone",COMMUTING TO WORK,New Hampshire,"561,148","±4,160",77.5%,±0.4,2021
"        Car, truck, or van -- carpooled",COMMUTING TO WORK,New Hampshire,"53,954","±2,091",7.4%,±0.3,2021
        Public transportation (excluding taxicab),COMMUTING TO WORK,New Hampshire,"5,137",±723,0.7%,±0.1,2021
        Walked,COMMUTING TO WORK,New Hampshire,"17,030","±1,131",2.4%,±0.2,2021
        Other means,COMMUTING TO WORK,New Hampshire,"8,642",±792,1.2%,±0.1,2021
        Worked from home,COMMUTING TO WORK,New Hampshire,"78,457","±2,435",10.8%,±0.3,2021
        Mean travel time to work (minutes),COMMUTING TO WORK,New Hampshire,27.1,±0.2,(X),(X),2021
OCCUPATION,Header,New Hampshire,,,,,2021
Civilian employed population 16 years and over,OCCUPATION,New Hampshire,"738,506","±3,377","738,506",(X),2021
"        Management, business, science, and arts occupations",OCCUPATION,New Hampshire,"314,716","±3,704",42.6%,±0.5,2021
        Service occupations,OCCUPATION,New Hampshire,"114,676","±2,481",15.5%,±0.3,2021
        Sales and office occupations,OCCUPATION,New Hampshire,"154,949","±2,762",21.0%,±0.4,2021
"        Natural resources, construction, and maintenance occupations",OCCUPATION,New Hampshire,"65,204","±2,017",8.8%,±0.3,2021
"        Production, transportation, and material moving occupations",OCCUPATION,New Hampshire,"88,961","±2,074",12.0%,±0.3,2021
INDUSTRY,Header,New Hampshire,,,,,2021
Civilian employed population 16 years and over,INDUSTRY,New Hampshire,"738,506","±3,377","738,506",(X),2021
"        Agriculture, forestry, fishing and hunting, and mining",INDUSTRY,New Hampshire,"5,678",±698,0.8%,±0.1,2021
        Construction,INDUSTRY,New Hampshire,"51,265","±2,051",6.9%,±0.3,2021
        Manufacturing,INDUSTRY,New Hampshire,"93,426","±2,603",12.7%,±0.4,2021
        Wholesale trade,INDUSTRY,New Hampshire,"18,379","±1,025",2.5%,±0.1,2021
        Retail trade,INDUSTRY,New Hampshire,"89,771","±2,382",12.2%,±0.3,2021
"        Transportation and warehousing, and utilities",INDUSTRY,New Hampshire,"28,163","±1,342",3.8%,±0.2,2021
        Information,INDUSTRY,New Hampshire,"14,719","±1,021",2.0%,±0.1,2021
"        Finance and insurance, and real estate and rental and leasing",INDUSTRY,New Hampshire,"46,805","±1,677",6.3%,±0.2,2021
"        Professional, scientific, and management, and administrative and waste management services",INDUSTRY,New Hampshire,"85,059","±2,438",11.5%,±0.3,2021
"        Educational services, and health care and social assistance",INDUSTRY,New Hampshire,"182,874","±2,931",24.8%,±0.4,2021
"        Arts, entertainment, and recreation, and accommodation and food services",INDUSTRY,New Hampshire,"61,932","±2,275",8.4%,±0.3,2021
"        Other services, except public administration",INDUSTRY,New Hampshire,"30,963","±1,416",4.2%,±0.2,2021
        Public administration,INDUSTRY,New Hampshire,"29,472","±1,354",4.0%,±0.2,2021
CLASS OF WORKER,Header,New Hampshire,,,,,2021
Civilian employed population 16 years and over,CLASS OF WORKER,New Hampshire,"738,506","±3,377","738,506",(X),2021
        Private wage and salary workers,CLASS OF WORKER,New Hampshire,"592,993","±3,832",80.3%,±0.4,2021
        Government workers,CLASS OF WORKER,New Hampshire,"96,518","±2,298",13.1%,±0.3,2021
        Self-employed in own not incorporated business workers,CLASS OF WORKER,New Hampshire,"47,475","±1,565",6.4%,±0.2,2021
        Unpaid family workers,CLASS OF WORKER,New Hampshire,"1,520",±410,0.2%,±0.1,2021
INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Header,New Hampshire,,,,,2021
    Total households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"540,498","±1,974","540,498",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"18,333","±1,185",3.4%,±0.2,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"15,565","±1,027",2.9%,±0.2,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"33,510","±1,597",6.2%,±0.3,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"36,243","±1,542",6.7%,±0.3,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"53,522","±1,789",9.9%,±0.3,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"86,088","±2,029",15.9%,±0.4,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"73,882","±2,196",13.7%,±0.4,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"106,135","±2,247",19.6%,±0.4,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"57,634","±1,764",10.7%,±0.3,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"59,586","±1,792",11.0%,±0.3,2021
        Median household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"83,449",±773,(X),(X),2021
        Mean household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"108,061",±991,(X),(X),2021
        With earnings,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"429,503","±2,512",79.5%,±0.3,2021
            Mean earnings (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"108,564","±1,121",(X),(X),2021
        With Social Security,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"182,254","±2,027",33.7%,±0.4,2021
            Mean Social Security income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"22,287",±232,(X),(X),2021
        With retirement income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"128,914","±2,193",23.9%,±0.4,2021
            Mean retirement income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"28,058",±842,(X),(X),2021
        With Supplemental Security Income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"24,270","±1,188",4.5%,±0.2,2021
            Mean Supplemental Security Income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"11,240",±339,(X),(X),2021
        With cash public assistance income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"13,722",±938,2.5%,±0.2,2021
            Mean cash public assistance income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"3,842",±370,(X),(X),2021
With Food Stamp/SNAP benefits in the past 12 months,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"33,190","±1,439",6.1%,±0.3,2021
    Families,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"352,210","±2,642","352,210",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"6,672",±635,1.9%,±0.2,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"4,532",±621,1.3%,±0.2,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"10,485",±781,3.0%,±0.2,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"14,939",±829,4.2%,±0.2,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"28,045","±1,373",8.0%,±0.4,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"51,516","±1,517",14.6%,±0.4,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"51,360","±1,825",14.6%,±0.5,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"84,387","±1,942",24.0%,±0.5,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"48,887","±1,587",13.9%,±0.4,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"51,387","±1,587",14.6%,±0.5,2021
        Median family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"104,193",±989,(X),(X),2021
        Mean family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"128,164","±1,340",(X),(X),2021
    Per capita income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"43,877",±428,(X),(X),2021
    Nonfamily households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"188,288","±2,658","188,288",(X),2021
        Median nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"47,155","±1,031",(X),(X),2021
        Mean nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"64,902","±1,447",(X),(X),2021
    Median earnings for workers (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"43,313",±344,(X),(X),2021
"    Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"65,577",±790,(X),(X),2021
"    Median earnings for female full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),New Hampshire,"51,886",±709,(X),(X),2021
HEALTH INSURANCE COVERAGE,Header,New Hampshire,,,,,2021
    Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE,New Hampshire,"1,356,149",±404,"1,356,149",(X),2021
        With health insurance coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"1,276,144","±2,704",94.1%,±0.2,2021
            With private health insurance,HEALTH INSURANCE COVERAGE,New Hampshire,"1,038,561","±5,877",76.6%,±0.4,2021
            With public coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"429,162","±4,396",31.6%,±0.3,2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"80,005","±2,631",5.9%,±0.2,2021
Civilian noninstitutionalized population under 19 years,HEALTH INSURANCE COVERAGE,New Hampshire,"279,561",±764,"279,561",(X),2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"8,789",±980,3.1%,±0.4,2021
Civilian noninstitutionalized population 19 to 64 years,HEALTH INSURANCE COVERAGE,New Hampshire,"833,882",±919,"833,882",(X),2021
        In labor force:,HEALTH INSURANCE COVERAGE,New Hampshire,"687,040","±2,826","687,040",(X),2021
            Employed:,HEALTH INSURANCE COVERAGE,New Hampshire,"662,039","±2,891","662,039",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"610,845","±3,357",92.3%,±0.3,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,New Hampshire,"574,668","±3,736",86.8%,±0.4,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"52,230","±1,717",7.9%,±0.3,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"51,194","±1,883",7.7%,±0.3,2021
            Unemployed:,HEALTH INSURANCE COVERAGE,New Hampshire,"25,001","±1,351","25,001",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"19,307","±1,110",77.2%,±2.4,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,New Hampshire,"12,469",±844,49.9%,±2.6,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"7,554",±737,30.2%,±2.5,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"5,694",±729,22.8%,±2.4,2021
        Not in labor force:,HEALTH INSURANCE COVERAGE,New Hampshire,"146,842","±2,806","146,842",(X),2021
            With health insurance coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"133,503","±2,650",90.9%,±0.7,2021
                With private health insurance,HEALTH INSURANCE COVERAGE,New Hampshire,"86,805","±2,447",59.1%,±1.3,2021
                With public coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"57,884","±2,049",39.4%,±1.1,2021
            No health insurance coverage,HEALTH INSURANCE COVERAGE,New Hampshire,"13,339","±1,144",9.1%,±0.7,2021
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Header,New Hampshire,,,,,2021
    All families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),4.7%,±0.3,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),8.0%,±0.7,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),6.7%,±1.3,2021
        Married couple families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),2.1%,±0.2,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),2.1%,±0.4,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),1.3%,±0.7,2021
"        Families with female householder, no spouse present",PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),17.5%,±1.5,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),25.9%,±2.3,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),27.5%,±5.5,2021
    All people,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),7.4%,±0.3,2021
Under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),9.3%,±0.7,2021
Related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),8.8%,±0.7,2021
Related children of the householder under 5 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),9.7%,±1.0,2021
Related children of the householder 5 to 17 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),8.6%,±0.7,2021
18 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),7.0%,±0.2,2021
18 to 64 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),7.1%,±0.3,2021
65 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),6.5%,±0.4,2021
        People in families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),4.7%,±0.3,2021
Unrelated individuals 15 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,New Hampshire,(X),(X),17.5%,±0.6,2021
EMPLOYMENT STATUS,Header,New Jersey,,,,,2021
Population 16 years and over,EMPLOYMENT STATUS,New Jersey,"7,436,293","±2,491","7,436,293",(X),2021
        In labor force,EMPLOYMENT STATUS,New Jersey,"4,905,036","±9,517",66.0%,±0.1,2021
            Civilian labor force,EMPLOYMENT STATUS,New Jersey,"4,893,875","±9,482",65.8%,±0.1,2021
                Employed,EMPLOYMENT STATUS,New Jersey,"4,588,902","±10,426",61.7%,±0.1,2021
                Unemployed,EMPLOYMENT STATUS,New Jersey,"304,973","±5,726",4.1%,±0.1,2021
            Armed Forces,EMPLOYMENT STATUS,New Jersey,"11,161",±841,0.2%,±0.1,2021
        Not in labor force,EMPLOYMENT STATUS,New Jersey,"2,531,257","±10,132",34.0%,±0.1,2021
    Civilian labor force,EMPLOYMENT STATUS,New Jersey,"4,893,875","±9,482","4,893,875",(X),2021
        Unemployment Rate,EMPLOYMENT STATUS,New Jersey,(X),(X),6.2%,±0.1,2021
Females 16 years and over,EMPLOYMENT STATUS,New Jersey,"3,816,159","±1,771","3,816,159",(X),2021
        In labor force,EMPLOYMENT STATUS,New Jersey,"2,323,903","±7,255",60.9%,±0.2,2021
            Civilian labor force,EMPLOYMENT STATUS,New Jersey,"2,321,902","±7,282",60.8%,±0.2,2021
                Employed,EMPLOYMENT STATUS,New Jersey,"2,175,990","±7,491",57.0%,±0.2,2021
Own children of the householder under 6 years,EMPLOYMENT STATUS,New Jersey,"620,865","±2,834","620,865",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,New Jersey,"433,162","±5,154",69.8%,±0.7,2021
Own children of the householder 6 to 17 years,EMPLOYMENT STATUS,New Jersey,"1,342,810","±4,004","1,342,810",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,New Jersey,"991,158","±7,381",73.8%,±0.5,2021
COMMUTING TO WORK,Header,New Jersey,,,,,2021
Workers 16 years and over,COMMUTING TO WORK,New Jersey,"4,489,790","±10,750","4,489,790",(X),2021
